,0
Dominican Republic,89
Mexico,523
Philippines,6907
Greece,1274
Japan,401
United States,2835
Uruguay,81
Italy,1564
East Germany (GDR),37
Ethiopia,189
Guatemala,2049
Venezuela,292
West Germany (FRG),540
Switzerland,110
Jordan,112
Spain,3248
Brazil,272
Egypt,2478
Argentina,814
Lebanon,2477
Ireland,306
Turkey,4291
Paraguay,113
Iran,683
United Kingdom,5234
Colombia,8305
Bolivia,313
Nicaragua,1969
Netherlands,129
Belgium,153
Canada,95
Australia,113
Pakistan,14367
Zambia,61
Sweden,131
Costa Rica,66
South Yemen,1
Cambodia,258
Israel,2182
Poland,38
Taiwan,49
Panama,126
Kuwait,75
West Bank and Gaza Strip,2226
Austria,114
Czechoslovakia,9
India,11959
France,2692
South Vietnam,0
Brunei,5
Zaire,49
People's Republic of the Congo,3
Portugal,139
Algeria,2742
El Salvador,5319
Thailand,3848
Haiti,212
Sudan,966
Morocco,35
Cyprus,131
Myanmar,545
Afghanistan,12730
Peru,6095
Chile,2364
Honduras,322
Yugoslavia,202
Ecuador,219
New Zealand,19
Malaysia,98
Singapore,6
Botswana,9
Jamaica,35
Chad,90
North Yemen,5
Andorra,0
Syria,2200
South Korea,37
United Arab Emirates,21
South Africa,2015
Kenya,682
Iraq,24635
Somalia,4141
Tanzania,58
Sri Lanka,3021
Namibia,150
Bahamas,4
Nigeria,3906
Barbados,2
Trinidad and Tobago,21
Bangladesh,1647
Angola,498
Mauritania,17
Saudi Arabia,370
Djibouti,21
Indonesia,760
Malta,22
Rhodesia,82
Soviet Union,77
Denmark,40
Western Sahara,4
Guyana,25
Mozambique,362
Tunisia,108
Uganda,393
Norway,18
Lesotho,28
Gabon,7
Libya,2248
Bahrain,206
Hong Kong,25
Senegal,117
Zimbabwe,100
Guinea,24
Grenada,4
New Hebrides,0
Belize,7
Guadeloupe,55
Martinique,11
Vatican City,0
Albania,79
Central African Republic,282
Seychelles,1
Dominica,2
Qatar,6
Bulgaria,51
Suriname,65
Swaziland,15
Luxembourg,15
Iceland,3
French Guiana,6
Falkland Islands,0
Burkina Faso,51
New Caledonia,30
Romania,5
Niger,153
Nepal,1214
Togo,47
Finland,19
Fiji,16
Ghana,18
Maldives,21
Mauritius,1
Hungary,45
Laos,26
Papua New Guinea,88
China,251
Liberia,33
Republic of the Congo,35
Mali,565
Germany,734
Yemen,3346
Rwanda,158
Sierra Leone,100
Cameroon,331
Cuba,29
Croatia,56
Georgia,216
Azerbaijan,48
Madagascar,26
Lithuania,7
Burundi,612
Ukraine,1708
Moldova,20
Armenia,23
Russia,2193
Ivory Coast,73
Kazakhstan,26
Antigua and Barbuda,0
Bosnia-Herzegovina,158
Equatorial Guinea,1
Tajikistan,187
Malawi,4
Uzbekistan,20
Latvia,16
Estonia,15
Vietnam,11
Comoros,4
Benin,7
Slovak Republic,17
Macedonia,117
Wallis and Futuna,0
Belarus,12
Czech Republic,31
Slovenia,5
Gambia,2
North Korea,0
Eritrea,9
St. Kitts and Nevis,1
French Polynesia,2
Macau,32
Kyrgyzstan,34
Vanuatu,1
Democratic Republic of the Congo,774
Kosovo,195
Solomon Islands,3
East Timor,9
St. Lucia,0
Guinea-Bissau,8
Montenegro,4
International,0
Turkmenistan,1
Serbia-Montenegro,10
Bhutan,5
Serbia,11
South Sudan,224
